PARTITIONCOL,BUSINESS,PRODUCT,SUB_PRODUCT,STAGE_ORDER,STAGE_NAMES,Journey_name,ENTRYPOINT_STAGE,clicks,users,EP_PLATFORM
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.1,PERSONAL DETAILS PAGE SUBMIT > WITH ERROR -WITH EP_ERROR_MESSAGE,SAL_NO_OFFER,DPAOP3,1,1,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,22.0,KYC_DETAILS_PAGE,SAL_PREAPPROVED,JOURNEY_3,179,100,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,23.0,BANK DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,15,15,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,24.0,BANK DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,95,78,CT-WEB
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,17.0,"OFFER DETAILS,EDIT OFFER DETAILS VIEWED",SAL_PREAPPROVED,JOURNEY_3,57,26,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,13.0,OFFICE ADDRESS VIEWED,SAL_PREAPPROVED,JOURNEY_3,106,55,APP
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.4,PERSONAL DETAILS PAGE SUBMIT > TNC ERROR,SAL_PREAPPROVED,JOURNEY_3,26,15,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.4,PERSONAL DETAILS PAGE SUBMIT > TNC ERROR,SAL_NO_OFFER,JOURNEY_3,94,25,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.1,PDP PAGE > RESUME APPLICATION > WITH ERROR,SAL_NO_OFFER,JOURNEY_3,3,3,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,1.0,PDP PAGE VIEW,SAL_PREAPPROVED,JOURNEY_3,1,1,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.4,PERSONAL DETAILS PAGE SUBMIT > TNC ERROR,SAL_PREAPPROVED,JOURNEY_3,1,1,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > APPLY NOW,SAL_NO_OFFER,DPAOP3,68971,31800,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,16.0,LOAN SUMMARY PAGE > SAVE TO CART,SAL_PREAPPROVED,DPAOP3,1044,833,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,16.0,OFFER POPUP,SAL_NO_OFFER,JOURNEY_3,507,293,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,14.0,OFFICE ADDRESS,SAL_PREAPPROVED,JOURNEY_3,270,198,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > APPLY NOW,SAL_NO_OFFER,JOURNEY_3,608773,167932,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,14.0,OFFICE ADDRESS,SAL_NO_OFFER,JOURNEY_3,25775,21138,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.1,PERSONAL DETAILS PAGE SUBMIT > MULTIPLE ERROR,SAL_NO_OFFER,JOURNEY_3,40950,14733,CT-WEB
